datum_von,jahr,verbrauchskategorie,energie_und_vertrieb_eur_kwh,netzkosten_eur_kwh,steuern_abgaben_umlagen_eur_kwh,strompreis_gesamt_eur_kwh,ist_gesamt
2019-01-01,2019,Unter 1000 kWh,0.0925,0.1808,0.1837,0.457,False
2019-01-01,2019,1000 bis unter 2500 kWh,0.0683,0.0938,0.1622,0.3243,False
2019-01-01,2019,2500 bis unter 5000 kWh,0.0581,0.074,0.1556,0.2877,False
2019-01-01,2019,5000 bis unter 15000 kWh,0.0547,0.0592,0.1504,0.2643,False
2019-01-01,2019,15000 kWh und mehr,0.0492,0.0444,0.1432,0.2368,False
2019-01-01,2019,Insgesamt,0.0617,0.0804,0.1571,0.2992,True
2020-01-01,2020,Unter 1000 kWh,0.1213,0.1546,0.1849,0.4608,False
2020-01-01,2020,1000 bis unter 2500 kWh,0.0742,0.0992,0.1659,0.3393,False
2020-01-01,2020,2500 bis unter 5000 kWh,0.0574,0.0864,0.1589,0.3027,False
2020-01-01,2020,5000 bis unter 15000 kWh,0.0577,0.0715,0.1545,0.2837,False
2020-01-01,2020,15000 kWh und mehr,0.0502,0.0579,0.1472,0.2553,False
2020-01-01,2020,Insgesamt,0.0659,0.0894,0.1608,0.3161,True
2021-01-01,2021,Unter 1000 kWh,0.121,0.1574,0.1891,0.4675,False
2021-01-01,2021,1000 bis unter 2500 kWh,0.0914,0.0937,0.1705,0.3556,False
2021-01-01,2021,2500 bis unter 5000 kWh,0.0803,0.0776,0.1634,0.3213,False
2021-01-01,2021,5000 bis unter 15000 kWh,0.0735,0.0632,0.1566,0.2933,False
2021-01-01,2021,15000 kWh und mehr,0.0582,0.0487,0.146,0.2529,False
2021-01-01,2021,Insgesamt,0.0824,0.0811,0.1639,0.3274,True
2022-01-01,2022,Unter 1000 kWh,0.1846,0.1663,0.1481,0.499,False
2022-01-01,2022,1000 bis unter 2500 kWh,0.1435,0.0976,0.1279,0.369,False
2022-01-01,2022,2500 bis unter 5000 kWh,0.1303,0.0804,0.121,0.3317,False
2022-01-01,2022,5000 bis unter 15000 kWh,0.1214,0.0656,0.1146,0.3016,False
2022-01-01,2022,15000 kWh und mehr,0.1177,0.0542,0.1091,0.281,False
2022-01-01,2022,Insgesamt,0.1345,0.0853,0.1223,0.3421,True
2023-01-01,2023,Unter 1000 kWh,0.2516,0.1804,0.1441,0.5761,False
2023-01-01,2023,1000 bis unter 2500 kWh,0.2138,0.113,0.1229,0.4497,False
2023-01-01,2023,2500 bis unter 5000 kWh,0.1992,0.0937,0.1145,0.4074,False
2023-01-01,2023,5000 bis unter 15000 kWh,0.1993,0.0742,0.1076,0.3811,False
2023-01-01,2023,15000 kWh und mehr,0.1911,0.0559,0.0986,0.3456,False
2023-01-01,2023,Insgesamt,0.2063,0.0978,0.1161,0.4202,True
2024-01-01,2024,Unter 1000 kWh,0.2153,0.2215,0.1478,0.5846,False
2024-01-01,2024,1000 bis unter 2500 kWh,0.1806,0.1383,0.1241,0.443,False
2024-01-01,2024,2500 bis unter 5000 kWh,0.1654,0.1147,0.1147,0.3948,False
2024-01-01,2024,5000 bis unter 15000 kWh,0.164,0.0909,0.1064,0.3613,False
2024-01-01,2024,15000 kWh und mehr,0.1554,0.0827,0.1031,0.3412,False
2024-01-01,2024,Insgesamt,0.1724,0.1217,0.1172,0.4113,True
2025-01-01,2025,Unter 1000 kWh,0.2024,0.2283,0.1596,0.5903,False
2025-01-01,2025,1000 bis unter 2500 kWh,0.1632,0.1393,0.134,0.4365,False
2025-01-01,2025,2500 bis unter 5000 kWh,0.1481,0.113,0.1241,0.3852,False
2025-01-01,2025,5000 bis unter 15000 kWh,0.143,0.088,0.1145,0.3455,False
2025-01-01,2025,15000 kWh und mehr,0.138,0.0783,0.1112,0.3275,False
2025-01-01,2025,Insgesamt,0.1546,0.1211,0.1266,0.4023,True
