"jahr","brennstoffart","preisindex","yoy_change"
2019,"Braunkohle","96.80",NULL
2020,"Braunkohle","97.80","1.03"
2021,"Braunkohle","100.00","2.25"
2022,"Braunkohle","105.20","5.20"
2023,"Braunkohle","136.60","29.85"
2024,"Braunkohle","138.50","1.39"
2025,"Braunkohle","142.60","2.96"
2019,"Erdgas","57.50",NULL
2020,"Erdgas","41.90","-27.13"
2021,"Erdgas","100.00","138.66"
2022,"Erdgas","252.20","152.20"
2023,"Erdgas","123.70","-50.95"
2024,"Erdgas","102.30","-17.30"
2025,"Erdgas","102.80","0.49"
2019,"Steinkohle","74.10",NULL
2020,"Steinkohle","56.80","-23.35"
2021,"Steinkohle","100.00","76.06"
2022,"Steinkohle","259.10","159.10"
2023,"Steinkohle","150.30","-41.99"
2024,"Steinkohle","124.50","-17.17"
2025,"Steinkohle","101.00","-18.88"
