"datum_von","jahr","halbjahr","periode","strompreis_gesamt_cent_kwh"
"2019-07-01",2019,"2. Halbjahr","vor_atomausstieg","29.9200"
"2020-01-01",2020,"1. Halbjahr","vor_atomausstieg","31.9400"
"2020-07-01",2020,"2. Halbjahr","vor_atomausstieg","31.1600"
"2021-01-01",2021,"1. Halbjahr","vor_atomausstieg","32.6200"
"2021-07-01",2021,"2. Halbjahr","vor_atomausstieg","32.8700"
"2022-01-01",2022,"1. Halbjahr","vor_atomausstieg","33.500"
"2022-07-01",2022,"2. Halbjahr","vor_atomausstieg","34.9600"
"2023-01-01",2023,"1. Halbjahr","vor_atomausstieg","42.2900"
"2023-07-01",2023,"2. Halbjahr","nach_atomausstieg","41.7500"
"2024-01-01",2024,"1. Halbjahr","nach_atomausstieg","41.0200"
"2024-07-01",2024,"2. Halbjahr","nach_atomausstieg","41.200"
"2025-01-01",2025,"1. Halbjahr","nach_atomausstieg","39.9200"
"2025-07-01",2025,"2. Halbjahr","nach_atomausstieg","40.5500"
